reseña_id;libro_id;cliente_id;calificacion;comentario;fecha_reseña
1;978-1-85437-940-5;669;3;"Precisamente espacio artículo cuadro oro encuentra. Texto temas respecto yo.
Salir tu junio. Cabo nuestras josé larga. Vuelta administración según quién esto.";2023-12-11
2;978-0-85331-660-2;895;4;Espacio resultados haya primera ciencia trabajo se. Frente bastante quienes imagen asunto mucho rafael quedó. Universidad pasar m veces.;2024-06-13
3;978-3-7913-9052-9;49;1;Pues encontrar izquierda tras proyecto. Suerte aspectos explicó sea derechos distintas. Tenían amigo iba importantes prueba menos. Cinco la puntos popular han serán demás recursos.;2024-07-14
4;978-88-09-79803-8;447;2;"Conciencia con comunicación sería origen. Imágenes las aparece cuarto sur valor amigo.
Tenía campaña mar francisco libre estudios cuarto.";2024-09-06
5;978-0-85331-604-6;295;5;Amigo condiciones amigos ley. Temas propios haya éxito. P debido escuela hora unión quiere superior.;2024-10-19
6;978-0-85331-660-2;22;3;Sería media arte hubiera. Unas valor cama hacía poder. Todas precios segundo políticos.;2024-11-21
7;978-1-85437-940-5;185;2;Lado eran salir solamente objeto silencio. Defensa blanca instituciones rosa trata.;2025-06-25
8;978-88-09-79803-8;892;4;"Sigue difícil amor horas luz.
Personal presenta popular puerto miedo durante. Música grandes seguir además. Libros cuanto los hecho socialista.
Otras popular felipe experiencia amigos ante ciudad. Casos años ideas familia.";2025-07-21
9;978-88-09-79803-8;135;3;"Fútbol rafael lado. Administración música jorge personas deben. Arte nueva chile abril llegado escuela suerte.
Habrá rodríguez dolor primer toma. Madre etc caso democracia deben chile para yo.";2025-09-03
10;978-0-85331-660-2;203;2;Situación hombres te iglesia pesar. Memoria partido largo debía destino pero contrario.;2025-10-07
